artist_name,track_name,release_date,genre,lyrics
Isabel LaRosa,i'm yours,2022,hyperpop,"(Baby, I'm yours, yours, yours) (Baby, Im yours, yours, yours)  I know that you love me Darling, you don't have to say it You know you can trust me It's okay, its complicated  Nervous, trip over my words You're so pretty it hurts  Baby, I'm yours Baby, I'm yours Baby, I'm yours I need something more I'll pray to the Lord That, baby, I'm yours  Is it too late to see you? I love the view of your headlights Wanna get to know you (Know you) Park outside my house for the night  Nervous, trip over my words You're so pretty it hurts  Baby, Im yours Baby, Im yours Baby, I'm yours I need something more Ill pray to the Lord That, baby, I'm yours  We're gettin' closer, inches away Lose composure, favorite mistake Friendships over, won't be the same (Baby, I'm yours, yours, yours) (Baby, I'm yours, yours, yours) (I need something more, more, more) (But, baby, I'm yours)  Baby, I'm yours Baby, I'm yours Baby, I'm yours I need something more I'll pray to the Lord That, baby, I'm yours"
Isabel LaRosa,older,2023,hyperpop,"Think I need someone older Just a little bit colder Take the weight off your shoulders Think I need someone older  Baby, am I your little secret? Eighteen, I'm old enough to keep it  Yeah, guys my age just aren't the same I'm young and that's okay  Think I need someone older Just a little bit colder Take the weight off your shoulders Think I need someone older  Darlin', hold me while you wipe my tears Fallin', you say I'm wise beyond my years  Yeah, guys my age just aren't the same I'm young and that's okay  Think I need someone older Just a little bit colder Take the weight off your shoulders Think I need someone older  I know I'm younger as your lover But I've always wanted a man For the summer, age is a number My dear, I know you'll understand Think I need someone older  Think I need someone older Just a little bit colder Take the weight off your shoulders Think I need someone older"
Isabel LaRosa,Favorite,2024,hyperpop,"Say my name, I want the neighbors to hear it Want your body to feel it Boy, you know if there's a heaven, I'm near it Yeah, I promise, my dear, it's Only you who has my body and heals it I'm the one, can you feel it? (I'm the one, can you feel it?)  Darlin', can I be your favorite? I'll be your girl, let you taste it I know what you want, yeah, just take it (Take it) Darlin', can I be your favorite? Want you to tell me you crave it My name's whatever you make it (Make it)  Ay, cario, s que t eres mo Quiero pasarme la raya Mi paciencia se acaba, te digo ""'T chiquita como mi saya"" Ellas no tienen lo que yo tengo Soy celosa, lo siento (Soy celosa, lo siento)  Darlin', can I be your favorite? I'll be your girl, let you taste it I know what you want, yeah, just take it (Take it) Darlin', can I be your favorite? Want you to tell me you crave it My name's whatever you make it (Make it)  I swear you're heaven, but boy, you're no angel You take me places only we go You're so pretty, God, I swear that it's painful I whisper things only we know Put your hands around my neck, make me faithful Soy celosa, lo siento (Soy celosa, lo siento)  Darlin', can I be your favorite? I'll be your girl, let you taste it I know what you want, yeah, just take it (Take it) Darlin', can I be your favorite? Want you to tell me you crave it My name's whatever you make it (Make it)"
Isabel LaRosa,eyes don't lie,2023,hyperpop,"Eyes don't lie Eyes don't lie Say you're mine Eyes don't lie  Can't lie to you, baby Wanna feel your body close You say that you hate me But tell me shit nobody knows  Yeah, you're beautiful, don't have to try Darlin', you look divine  Eyes don't lie Eyes don't lie Say you're mine Eyes don't lie  You tell me your secrets You keep your life between your lips You know you're my weakness Tell stories with your fingertips  Yeah, you're beautiful, don't have to try Darlin', you look divine  Eyes don't lie Eyes don't lie Say you're mine Eyes don't lie  I swear friends don't get this close Pull you in exchanging souls Trace my skin, losing control  Eyes don't lie Eyes don't lie Say you're mine Eyes don't lie  Eyes don't lie Eyes don't lie Say you're mine Eyes don't lie"
Rebzyyx,I'm so crazy for youuu </3,2021,hyperpop,"You're so upset with me But I'm so obsessed with you I'm fucking crazy I don't wanna damage you But don't fuckin' test me My mental's unsteady Gonna kill myself, yeah Just like Rebzyyx Wait, I'm Rebzyyx Where am I? What the fuck is going on? I don't know where I am But I'm so in love with you  You're so upset with me But I'm so obsessed with you I'm fucking crazy I don't wanna damage you But don't fuckin' test me My mental's unsteady Gonna kill myself, yeah Just like Rebzyyx You're so upset with me But I'm so obsessed with you I'm fucking crazy I don't wanna damage you But don't fuckin' test me My mental's unsteady Gonna kill myself, yeah Just like Rebzyyx  Fucked up head and BPD Girl, I know you wanted me Wanna see me in the dirt? Wanna see me in a skirt? I wanna be cute like you Let me feel your molecules Fuck me hard inside the church Then I'll show you my cute skirt Girl, you make me so warm Without you, I'm so bored Your voice is stuck inside my head My blood spilled, it's really red Come right here and lick it up Kiss my neck and fuck me up Fuck me 'til the sun's up Fuck me 'til I throw up  You're so upset with me But I'm so obsessed with you I'm fucking crazy I don't wanna damage you But don't fuckin' test me My mental's unsteady Gonna kill myself, yeah Just like Rebzyyx You're so upset with me But I'm so obsessed with you I'm fucking crazy I don't wanna damage you But don't fuckin' test me My mental's unsteady Gonna kill myself, yeah Just like Rebzyyx"
glaive,the prom,2023,hyperpop,"I skipped my high school prom Now that part of me is gone So I don't pick up my calls At all, at all And maybe, just maybe, I'm wrong Or maybe I'm right and I won't see them for the rest of my life Remember that night? When things were alright and I wasn't there and y'all didn't care To text or call or anything in the  Slightest, I told you that I don't mind it The look on my face said, ""I'm lying, I'm lying,"" like Oh, oh, why do I do that?  Oh, oh, why do I do that? Oh, oh, why do I do that? To myself, to everyone else? To my friends and everyone in between? Oh, oh, why do I do that? Oh, oh, why do I do that? It's complicated, yeah, I know It's complicated, yeah, I know  One day, I'll be the king of something One day, I'll be the queen of something Right now, I'm just the king of nothing Right now, I'm just the queen of nothing Hide my face, can't be seen in public Hide my face 'cause I know I'm blushing I'm embarrassed so I just stay at my parent's house I'm terrified of my hometown, I'm petrified I've let them down I didn't want to go, I just feel  Slighted, I told you that I don't mind it The look on my face said, ""I'm lying, I'm lying,"" like Oh, oh, why do I do that?  Oh, oh, why do I do that? Oh, oh, why do I do that? To myself, to everyone else? To my friends and everyone in between? Oh, oh, why do I do that? Oh, oh, why do I do that? It's complicated, yeah, I know It's complicated, yeah, I know"
aldn,icantbelieveiletyougetaway,2024,hyperpop,"I can't believe I let you get away I I  You were alone You left the lights on in your room I turned 'em off for you You clipped the straw 'til I had nothing left to offer you I hope you don't regret (I hope you don't regret) Your tattoo (Your tattoo) I had to look away (I had to look away) What was I supposed to do? Ooh, oh, oh  I can't believe I let you get away I thought you wouldn't leave You took a part of me There's no one home I thought you wouldn't leave I wish that it was me I, I, I can't believe I let you get away"
Isabel LaRosa,i'm yours sped up,2022,hyperpop,"(Baby, I'm yours, yours, yours) (Baby, I'm yours, yours, yours)  I know that you love me Darling, you don't have to say it You know you can trust me It's okay, it's complicated  Nervous, trip over my words You're so pretty it hurts  Baby, I'm yours Baby, I'm yours Baby, I'm yours I need something more I'll pray to the Lord That baby, I'm yours  Is it too late to see you? I love the view of your headlights Wanna get to know you (Know you) Brought you to my house for the night  Nervous, trip over my words You're so pretty it hurts  Baby, I'm yours Baby, I'm yours Baby, I'm yours I need something more I'll pray to the Lord That baby, I'm yours  We're gettin' closer, inches away Lose composure, favorite mistake Friendship's over, won't be the same (Baby, I'm yours, yours, yours) (Baby, I'm yours, yours, yours) (I need something mor, more, more) (But baby, I'm yours)  Baby, I'm yours Baby, I'm yours Baby, I'm yours I need something mor I'll pray to the Lord That baby, I'm yours"
ElyOtto,SugarCrash!,2020,hyperpop,"I'm on a sugar crash, I ain't got no fuckin' cash Maybe I should take a bath, cut my fuckin' brain in half I'm not lonely, just a bit tired of this fuckin' shit Nothin' that I write can make me feel good  Victim of the great machine, in love with everything I see Neon lights surroundin' me, I indulge in luxury Everything I do is wrong, 'cept for when I hit the bong Hit the bong, hit the bo, feel good Feelin' shitty in my bed, didn't take my fuckin' meds Hyperpop up in my ears, everything just disappears Don't wanna be someone else, just don't wanna hate myself I just don't wanna hate myself, instead I wanna feel good  I'm on a sugar crash, I ain't got no fuckin' cash Maybe I should take a bath, cut my fuckin' brain in half I'm not lonely, just a bit tired of this fuckin' shit Nothin' that I write can make me feel good  Where to now? Got the rest of my life just laid out Got the rest of my life to fuck around Got the rest of my life to make sound  Where to now? Got the rest of my life just laid out Got the rest of my life to fuck around Got the rest of my life to make sound Feel good"
Nova,Not Around,2019,hyperpop,"(Owww) (Haaaah) (Haaaah) (Haaaah) (Haaaah, haaaah)  Oh, she could be up Oh, she could be down But I'm not around to see her (Hey) Oh, she could be up Oh, she could be down But I'm not around to see my baby  To see my baby, to see my baby I need my lady, she thinks I'm crazy To see my baby, to see my baby I need my lady, she thinks I'm crazy  I know she wanna ride with my niggas But she can go get high but not with us I'm gonna take that ass aside then fuck with her I'm gonna get you in your thighs in the, in the,in the (?) How could you forgive me, babe How could you forgive me I gave you (?) I can get you wet instantly Know you can't forget it Baby girl I'm waiting for a minute So get here on me And I'm lonely Baby girl, you got it for me Baby girl, you know you know me Better than I know my homies 'Cause you kept it real with a nigga And now you tryna chill with these bitches And I don't ever wanna keep you with no other bitches Only mine girl, you're mine girl And I really wanna kick it, I will miss you But you're mine girl, so bye  Oh, she could be up Oh, she could be down But I'm not around to see my baby Oh, she could be up Oh, she could be down But I'm not around to see my baby  To see my baby, to see my baby I need my lady, she thinks I'm crazy To see my baby, to see my baby I need my lady, she thinks I'm crazy  (Oh, oh, yeah) (Ahaa, woah, woah) (Haaaah) (Haaaah) (Haaaah)"
